tconst,parentTconst,Season Number,Episode Number,TV-show,Episode Title,Season start year,endYear,channel,IMDB Rating,Number of votes,episodeID
tt5229638,tt0475784,1,10,Westworld,The Bicameral Mind,2016,\N,HBO,9.6,23039,10
tt6243294,tt0475784,2,1,Westworld,Journey into Night,2018,\N,HBO,8.0,8773,11
tt6243296,tt0475784,2,2,Westworld,Reunion,2018,\N,HBO,7.9,7123,12
tt6243298,tt0475784,2,3,Westworld,Virtù e Fortuna,2018,\N,HBO,7.9,6466,13
tt6243300,tt0475784,2,4,Westworld,The Riddle of the Sphinx,2018,\N,HBO,8.6,9161,14
tt6243302,tt0475784,2,5,Westworld,Akane no Mai,2018,\N,HBO,7.9,6934,15
tt6243304,tt0475784,2,6,Westworld,Phase Space,2018,\N,HBO,7.9,5968,16
tt6243306,tt0475784,2,7,Westworld,Les Écorchés,2018,\N,HBO,8.1,6773,17
tt6243308,tt0475784,2,8,Westworld,Kiksuya,2018,\N,HBO,8.8,11197,18
tt6243310,tt0475784,2,9,Westworld,Vanishing Point,2018,\N,HBO,8.5,6401,19
tt6243312,tt0475784,2,10,Westworld,The Passenger,2018,\N,HBO,8.6,7346,20
tt0749418,tt0306414,3,2,The Wire,All Due Respect,2004,\N,HBO,8.3,1974,27
tt0749419,tt0306414,2,6,The Wire,All Prologue,2003,\N,HBO,8.3,2300,19
tt0749420,tt0306414,3,4,The Wire,Hamsterdam,2004,\N,HBO,8.3,1957,29
tt0749421,tt0306414,3,7,The Wire,Back Burners,2004,\N,HBO,8.3,1909,32
tt0749422,tt0306414,2,7,The Wire,Backwash,2003,\N,HBO,8.3,1979,20
tt0749423,tt0306414,2,11,The Wire,Bad Dreams,2003,\N,HBO,8.5,2552,24
tt0749424,tt0306414,1,12,The Wire,Cleaning Up,2002,\N,HBO,8.4,2741,12
tt0749425,tt0306414,2,2,The Wire,Collateral Damage,2003,\N,HBO,8.1,2156,15
tt0749426,tt0306414,3,3,The Wire,Dead Soldiers,2004,\N,HBO,8.3,1967,28
tt0749427,tt0306414,2,8,The Wire,Duck and Cover,2003,\N,HBO,8.3,2044,21
tt0749428,tt0306414,2,1,The Wire,Ebb Tide,2003,\N,HBO,7.8,2310,14
tt0749429,tt0306414,1,9,The Wire,Game Day,2002,\N,HBO,8.3,2536,9
tt0749430,tt0306414,2,4,The Wire,Hard Cases,2003,\N,HBO,8.0,2057,17
tt0749431,tt0306414,3,6,The Wire,Homecoming,2004,\N,HBO,8.3,1953,31
tt0749432,tt0306414,2,3,The Wire,Hot Shots,2003,\N,HBO,8.1,2083,16
tt0749433,tt0306414,1,8,The Wire,Lessons,2002,\N,HBO,8.3,2439,8
tt0749434,tt0306414,3,11,The Wire,Middle Ground,2004,\N,HBO,8.9,2986,36
tt0749435,tt0306414,3,12,The Wire,Mission Accomplished,2004,\N,HBO,8.6,2444,37
tt0749436,tt0306414,3,8,The Wire,Moral Midgetry,2004,\N,HBO,8.4,2055,33
tt0749437,tt0306414,1,4,The Wire,Old Cases,2002,\N,HBO,8.3,2588,4
tt0749438,tt0306414,1,7,The Wire,One Arrest,2002,\N,HBO,8.3,2453,7
