tconst,parentTconst,seasonNumber,episodeNumber,TV-show,primaryTitle_y,startYear,endYear,channel,averageRating,numVotes,episodeID
tt6746392,tt5420376,2,6,Riverdale,Chapter Nineteen: Death Proof,2017,\N,CW,8.4,989,19
tt6746402,tt5420376,2,7,Riverdale,Chapter Twenty: Tales from the Darkside,2017,\N,CW,8.3,1000,20
tt6746406,tt5420376,2,8,Riverdale,Chapter Twenty-One: House of the Devil,2017,\N,CW,8.2,993,21
tt6746420,tt5420376,2,9,Riverdale,"Chapter Twenty-Two: Silent Night, Deadly Night",2017,\N,CW,8.5,977,22
tt6746428,tt5420376,2,10,Riverdale,Chapter Twenty-Three: The Blackboard Jungle,2018,\N,CW,8.0,867,23
tt6746434,tt5420376,2,11,Riverdale,Chapter Twenty-Four: The Wrestler,2018,\N,CW,7.6,864,24
tt6746444,tt5420376,2,12,Riverdale,Chapter Twenty-Five: The Wicked and the Divine,2018,\N,CW,8.2,858,25
tt6746458,tt5420376,2,13,Riverdale,Chapter Twenty-Six: The Tell-Tale Heart,2018,\N,CW,8.5,860,26
tt7124262,tt5420376,2,14,Riverdale,Chapter Twenty-Seven: The Hills Have Eyes,2018,\N,CW,8.1,836,27
tt7124300,tt5420376,2,15,Riverdale,Chapter Twenty-Eight: There Will Be Blood,2018,\N,CW,8.1,762,28
tt7124328,tt5420376,2,16,Riverdale,Chapter Twenty-Nine: Primary Colors,2018,\N,CW,8.2,799,29
tt7124370,tt5420376,2,17,Riverdale,Chapter Thirty: The Noose Tightens,2018,\N,CW,8.3,779,30
tt7124394,tt5420376,2,18,Riverdale,Chapter Thirty-One: A Night to Remember,2018,\N,CW,6.2,1657,31
tt7124426,tt5420376,2,19,Riverdale,Chapter Thirty-Two: Prisoners,2018,\N,CW,8.7,893,32
tt7124490,tt5420376,2,20,Riverdale,Chapter Thirty-Three: Shadow of a Doubt,2018,\N,CW,8.6,829,33
tt7124590,tt5420376,2,21,Riverdale,Chapter Thirty-Four: Judgment Night,2018,\N,CW,9.3,1501,34
tt7124636,tt5420376,2,22,Riverdale,Chapter Thirty-Five: Brave New World,2018,\N,CW,8.1,816,35
tt8227226,tt5420376,3,1,Riverdale,Chapter Thirty-Six: Labor Day,2018,\N,CW,8.2,985,36
tt8451418,tt5420376,3,2,Riverdale,Chapter Thirty-Seven: Fortune and Men's Eyes,2018,\N,CW,8.0,732,37
tt8451426,tt5420376,3,3,Riverdale,"Chapter Thirty-Eight: As Above, So Below",2018,\N,CW,7.8,655,38
tt8451428,tt5420376,3,5,Riverdale,Chapter Forty: The Great Escape,2018,\N,CW,8.5,627,40
tt8451432,tt5420376,3,4,Riverdale,Chapter Thirty-Nine: The Midnight Club,2018,\N,CW,8.7,838,39
tt8451434,tt5420376,3,6,Riverdale,Chapter Forty-One: Manhunter,2018,\N,CW,8.3,502,41
tt8451436,tt5420376,3,7,Riverdale,Chapter Forty-Two: The Man in Black,2018,\N,CW,8.3,468,42
tt8451438,tt5420376,3,8,Riverdale,Chapter Forty-Three: Outbreak,2018,\N,CW,8.5,383,43
tt4525842,tt4016454,1,1,Supergirl,Pilot,2015,\N,CW,7.2,3983,1
tt4550416,tt4016454,1,2,Supergirl,Stronger Together,2015,\N,CW,7.3,2856,2
tt4559950,tt4016454,1,13,Supergirl,For the Girl Who Has Everything,2016,\N,CW,8.0,2086,13
tt4603116,tt4016454,1,3,Supergirl,Fight or Flight,2015,\N,CW,7.4,2558,3
tt4944380,tt4016454,1,5,Supergirl,How Does She Do It?,2015,\N,CW,7.6,2307,5
tt4955274,tt4016454,1,10,Supergirl,Childish Things,2016,\N,CW,7.9,2089,10
tt4955276,tt4016454,1,12,Supergirl,Bizarro,2016,\N,CW,7.8,1985,12
tt4955278,tt4016454,1,8,Supergirl,Hostile Takeover,2015,\N,CW,8.1,2317,8
tt4955280,tt4016454,1,4,Supergirl,Livewire,2015,\N,CW,7.5,2417,4
tt4955282,tt4016454,1,6,Supergirl,Red Faced,2015,\N,CW,7.8,2402,6
tt4955284,tt4016454,1,7,Supergirl,Human for a Day,2015,\N,CW,8.1,2405,7
tt4955286,tt4016454,1,9,Supergirl,Blood Bonds,2016,\N,CW,7.9,2086,9
tt4955288,tt4016454,1,11,Supergirl,Strange Visitor from Another Planet,2016,\N,CW,8.1,2073,11
tt5238500,tt4016454,1,14,Supergirl,"Truth, Justice and the American Way",2016,\N,CW,7.6,1866,14
tt5238502,tt4016454,1,15,Supergirl,Solitude,2016,\N,CW,7.9,1898,15
tt5238510,tt4016454,1,16,Supergirl,Falling,2016,\N,CW,8.7,2667,16
tt5238950,tt4016454,1,17,Supergirl,Manhunter,2016,\N,CW,8.2,1996,17
